Продукт,Вес (г),Белки,Жиры,Углеводы,Калории,Категория
мука гречневая,100.0,13.60,1.20,73.70,367.00,мука
мука кукурузная,100.0,7.20,1.50,70.20,330.00
мука пшеничная 1-го сорта,100.0,10.60,1.30,67.60,331.00
мука пшеничная 2-го сорта,100.0,11.70,1.80,63.70,324.00
мука пшеничная высшего сорта,100.0,10.30,1.10,68.90,334.00
мука пшеничная обойная,100.0,11.50,2.20,56.80,298.00
мука ржаная обдирная,100.0,8.90,1.70,60.20,298.00
мука ржаная обойная,100.0,10.70,1.90,56.80,293.00
мука рисовая (диетическая),100.0,7.40,0.60,82.00,371.00
отруби пшеничные,100.0,15.10,3.80,23.50,191.00
булочки диетические с лецитином,100.0,16.20,14.80,28.20,313.00
лаваш,100.0,9.10,1.10,56.00,277.00
фокачча,100.0,5.80,18.90,38.60,352.00
хлеб белково-отрубевой,100.0,23.50,3.40,11.30,216.00
хлеб белый с кунжутом,100.0,10.00,11.80,58.50,386.00
хлеб белый хрустящий,100.0,10.00,7.60,62.10,369.00
хлеб бородинский,100.0,6.80,1.30,40.70,207.00
хлеб докторский,100.0,8.20,2.60,46.60,247.00
хлеб здоровье,100.0,7.90,1.80,37.90,203.00
хлеб зерновой,100.0,8.60,1.40,43.90,228.00
хлеб пониженной калорийности,100.0,7.90,1.80,37.90,203.00
хлеб пшеничный из муки высшего сорта,100.0,7.60,0.80,48.60,238.00
хлеб пшеничный подовый,100.0,8.30,1.30,48.10,227.00
хлеб пшеничный формовой,100.0,8.10,1.20,46.60,220.00
хлеб ржаной бездрожжевой,100.0,6.10,1.10,50.00,139.80
хлеб ржаной московский,100.0,7.00,1.30,37.20,195.00
хлеб ржаной подовый,100.0,6.10,1.20,40.90,206.00
хлеб ржаной формовой,100.0,6.60,1.20,34.20,181.00
хлеб ржаной хрустящий,100.0,10.40,2.30,55.80,291.00
хлеб украинский подовый,100.0,6.70,1.20,41.90,212.00
хлеб украинский формовой,100.0,6.90,1.30,38.60,200.00
хлеб чёрный с луком и тимьяном,100.0,8.60,8.80,54.30,336.00
баранки сдобные,100.0,8.30,8.00,59.70,349.00
батон нарезной,100.0,7.70,3.00,49.80,262.00
бублики,100.0,9.00,1.10,58.00,284.00
булка городская,100.0,7.80,2.50,50.50,261.00
плюшка московская,100.0,7.60,8.90,55.90,336.00
сайка простая,100.0,7.80,2.40,50.30,259.00
сдоба выборгская с повидлом,100.0,6.50,4.20,57.10,293.00
соломка сладкая,100.0,9.70,6.00,69.20,373.00
сухари сдобные,100.0,16.00,1.00,70.00,335.50
сушки простые,100.0,10.90,1.30,68.00,335.00
блинчики с куриным филе,100,11.5,5.9,15.00,158.7
блинчики с морепродуктами,100,8.20,16.00,5.40,205.00
блинчики с творогом и сметаной,100,25.80,33.10,55.20,640.00
блины,100,5.10,3.10,34.30,186.00
ватрушка с творогом,100,10.60,12.30,40.10,318.00
оладьи,100,0.70,6.60,40.00,225.00
пирог с мясом,100,13.20,7.50,41.20,284.00
пирог с повидлом,100,5.30,2.10,61.00,284.00
пирог с сыром рикотта,100,8.80,13.90,21.90,267.00
пицца вегетарианская,100,6.10,9.80,15.60,182.70
пицца с королевскими креветками,100,9.50,9.70,17.70,209.50
пицца «четыре сыра»,100,9.60,10.50,18.40,218.20
пицца маргарита,100,8.50,9.20,20.80,215.70
пицца куриная,100,10.00,6.50,14.00,165.40
пицца с ветчиной и грибами,100,9.50,8.60,15.30,182.20
пицца с салями,100,7.20,8.20,16.70,182.70
пицца с лососем,100,11.00,9.30,14.70,196.60
пончики,100,5.60,13.00,38.80,296.00
сырники (1 шт.-35г),100,13.20,13.00,18.20,245.00
сырный торт,100,5.00,29.10,24.70,380.00
чебуреки,100,8.90,13.50,26.20,264.00
шарлотка яблочная,100,3.70,5.60,17.40,135.00
вареники с картошкой,100,5.90,14.10,28.60,269.00
вафли с фруктовыми начинками,100,3.20,2.80,80.10,350.00
